stream_id,user_id,song_id,song_name,artist,genre,duration_seconds,country,device,stream_timestamp
32,1155,9,Stay,Ed Sheeran,rock,290,USA,Mobile,2026-07-04 16:09:00
33,1376,10,Thunder,The Weeknd,Hip Hop,220,Australia,Mobile,2026-07-04 23:56:00
34,1171,3,Stay,Imagine Dragons,POP,151,UK,Desktop,2026-07-03 03:18:00
35,1308,7,Senorita,Justin Bieber,,269,USA,Tablet,2026-07-02 07:46:00
36,1350,3,Perfect,Dua Lipa,POP,190,Canada,Tablet,2026-07-04 18:26:00
37,1279,3,Peaches,The Weeknd,Rock,150,Canada,Desktop,2026-07-06 06:08:00
38,1073,3,Levitating,Justin Bieber,Pop,219,USA,Mobile,2026-07-03 15:44:00
39,1041,6,Perfect,The Weeknd,POP,192,Canada,Mobile,2026-07-01 19:21:00
40,1341,2,Levitating,Justin Bieber,,167,Canada,Desktop,2026-07-05 18:09:00
41,1011,9,Levitating,Justin Bieber,Hip Hop,217,Australia,Tablet,2026-07-02 19:42:00
42,1067,4,Peaches,Ed Sheeran,rock,246,Australia,Desktop,2026-07-07 01:33:00
43,1490,9,Thunder,Justin Bieber,Hip Hop,161,UK,Tablet,2026-07-04 19:16:00
44,1260,10,Thunder,The Weeknd,,244,UK,Desktop,2026-07-07 22:10:00
45,1403,2,Believer,Imagine Dragons,,234,USA,Desktop,2026-07-01 11:50:00
46,1336,7,Thunder,Justin Bieber,,158,Australia,Desktop,2026-07-03 22:23:00
47,1109,2,Perfect,Justin Bieber,rock,267,USA,Mobile,2026-07-07 09:40:00
48,1304,3,Perfect,Dua Lipa,,152,Canada,Mobile,2026-07-07 19:49:00
49,1266,8,Peaches,Dua Lipa,Hip Hop,192,India,Tablet,2026-07-07 12:36:00
50,1254,8,Senorita,Dua Lipa,,285,UK,Desktop,2026-07-03 02:49:00
51,1040,10,Perfect,Ed Sheeran,Hip Hop,263,Australia,Tablet,2026-07-07 02:22:00
52,1065,9,Levitating,Imagine Dragons,Pop,230,USA,Mobile,2026-07-02 06:37:00
53,1338,8,Senorita,Ed Sheeran,,213,Canada,Mobile,2026-07-04 22:53:00
54,1149,8,Shape of You,Ed Sheeran,Hip Hop,198,Canada,Mobile,2026-07-06 06:02:00
55,1287,9,Peaches,The Weeknd,Hip Hop,242,UK,Tablet,2026-07-04 17:47:00
56,1131,3,Bad Habits,Ed Sheeran,Pop,169,UK,Mobile,2026-07-04 03:15:00
57,1348,7,Blinding Lights,Dua Lipa,POP,289,Australia,Mobile,2026-07-05 19:37:00
58,1229,7,Bad Habits,Dua Lipa,Pop,284,Australia,Mobile,2026-07-05 20:20:00
59,1149,6,Stay,Imagine Dragons,Pop,150,UK,Desktop,2026-07-03 14:02:00
60,1473,8,Stay,Ed Sheeran,Hip Hop,256,Australia,Desktop,2026-07-07 00:37:00
61,1199,10,Levitating,Dua Lipa,Hip Hop,254,UK,Mobile,2026-07-02 23:12:00
62,1350,3,Senorita,Dua Lipa,POP,172,India,Mobile,2026-07-05 22:13:00
63,1361,9,Senorita,Justin Bieber,,189,Canada,Desktop,2026-07-03 19:14:00
64,1079,5,Peaches,Dua Lipa,POP,273,India,Mobile,2026-07-07 14:05:00
65,1181,8,Blinding Lights,Justin Bieber,Pop,154,USA,Desktop,2026-07-04 23:36:00
66,1187,2,Peaches,Ed Sheeran,POP,222,USA,Desktop,2026-07-02 20:01:00
67,1082,6,Believer,Justin Bieber,rock,299,Canada,Tablet,2026-07-02 11:29:00
68,1402,6,Bad Habits,The Weeknd,Rock,271,USA,Desktop,2026-07-02 21:18:00
69,1449,1,Thunder,The Weeknd,POP,284,UK,Mobile,2026-07-06 07:31:00
70,1136,3,Bad Habits,Justin Bieber,,203,Canada,Mobile,2026-07-07 21:26:00
71,1241,9,Peaches,Dua Lipa,Pop,268,Australia,Tablet,2026-07-01 17:38:00
72,1428,2,Believer,Dua Lipa,POP,237,USA,Tablet,2026-07-03 21:22:00
73,1318,3,Thunder,Ed Sheeran,Hip Hop,181,India,Mobile,2026-07-07 13:03:00
74,1339,3,Levitating,Dua Lipa,Hip Hop,184,Australia,Desktop,2026-07-04 11:35:00
75,1384,1,Senorita,Dua Lipa,POP,159,USA,Tablet,2026-07-07 18:01:00
76,1382,9,Blinding Lights,Justin Bieber,Pop,167,India,Mobile,2026-07-05 02:06:00
77,1276,1,Shape of You,Ed Sheeran,POP,269,India,Desktop,2026-07-07 14:25:00
78,1459,1,Perfect,Justin Bieber,Hip Hop,295,USA,Tablet,2026-07-07 22:53:00
79,1479,1,Bad Habits,Justin Bieber,,206,Australia,Tablet,2026-07-05 16:22:00
80,1266,6,Levitating,Dua Lipa,Rock,243,Australia,Mobile,2026-07-07 18:01:00
81,1127,5,Believer,Justin Bieber,POP,227,India,Tablet,2026-07-06 08:35:00
82,1343,7,Senorita,Justin Bieber,Rock,239,Australia,Mobile,2026-07-01 15:33:00
83,1329,10,Stay,Imagine Dragons,rock,215,UK,Mobile,2026-07-07 12:07:00
84,1291,5,Shape of You,Imagine Dragons,rock,242,UK,Tablet,2026-07-03 20:26:00
85,1148,6,Stay,Dua Lipa,Hip Hop,252,Canada,Tablet,2026-07-05 07:43:00
86,1462,2,Levitating,The Weeknd,Rock,171,UK,Tablet,2026-07-02 15:11:00
87,1277,4,Senorita,Justin Bieber,Rock,179,India,Mobile,2026-07-03 13:54:00
88,1017,6,Senorita,Justin Bieber,Hip Hop,276,USA,Desktop,2026-07-02 18:43:00
89,1155,10,Shape of You,Ed Sheeran,,199,Canada,Tablet,2026-07-06 20:55:00
90,1066,10,Blinding Lights,The Weeknd,Rock,228,Canada,Mobile,2026-07-03 18:18:00
91,1022,1,Thunder,The Weeknd,POP,189,USA,Mobile,2026-07-04 09:17:00
92,1315,9,Peaches,Justin Bieber,Hip Hop,217,Canada,Tablet,2026-07-02 12:20:00
93,1350,9,Thunder,Dua Lipa,Pop,236,USA,Tablet,2026-07-07 06:05:00
94,1386,3,Shape of You,Justin Bieber,Rock,165,UK,Desktop,2026-07-06 03:49:00
95,1261,3,Perfect,Dua Lipa,POP,280,UK,Mobile,2026-07-07 14:49:00
96,1031,2,Shape of You,Justin Bieber,Pop,158,India,Desktop,2026-07-07 17:32:00
97,1365,1,Senorita,Dua Lipa,Hip Hop,234,India,Mobile,2026-07-05 18:56:00
98,1453,5,Believer,The Weeknd,Hip Hop,168,UK,Mobile,2026-07-02 15:49:00
99,1112,9,Peaches,Justin Bieber,,202,India,Desktop,2026-07-02 00:42:00
100,1058,1,Shape of You,Justin Bieber,,226,UK,Desktop,2026-07-07 12:38:00
101,1044,4,Bad Habits,Dua Lipa,Hip Hop,238,UK,Desktop,2026-07-02 19:00:00
102,1096,7,Blinding Lights,Dua Lipa,Hip Hop,254,Canada,Desktop,2026-07-06 01:07:00
103,1346,2,Bad Habits,Imagine Dragons,Pop,156,India,Tablet,2026-07-03 15:49:00
104,1263,7,Stay,The Weeknd,Rock,252,Australia,Desktop,2026-07-06 09:18:00
105,1439,10,Shape of You,Ed Sheeran,,151,Canada,Tablet,2026-07-01 22:22:00
106,1238,6,Senorita,Dua Lipa,POP,300,Canada,Tablet,2026-07-03 17:35:00
107,1132,1,Peaches,Dua Lipa,,292,Canada,Mobile,2026-07-06 03:22:00
108,1023,4,Peaches,Justin Bieber,Rock,164,Australia,Tablet,2026-07-03 15:45:00
109,1318,8,Senorita,Ed Sheeran,Pop,300,Australia,Tablet,2026-07-05 00:07:00
110,1009,7,Bad Habits,Imagine Dragons,Pop,225,USA,Tablet,2026-07-07 10:06:00
111,1040,2,Thunder,The Weeknd,,262,UK,Tablet,2026-07-02 04:33:00
112,1111,4,Perfect,Justin Bieber,POP,225,USA,Tablet,2026-07-04 23:35:00
113,1162,8,Perfect,Ed Sheeran,Hip Hop,234,USA,Desktop,2026-07-03 06:10:00
114,1279,9,Peaches,The Weeknd,Hip Hop,186,UK,Desktop,2026-07-07 08:14:00
115,1076,7,Levitating,The Weeknd,Pop,256,UK,Desktop,2026-07-07 13:40:00
116,1041,9,Believer,The Weeknd,POP,174,Australia,Mobile,2026-07-07 10:40:00
117,1024,5,Stay,Imagine Dragons,rock,268,USA,Tablet,2026-07-03 04:17:00
118,1090,6,Senorita,Imagine Dragons,Hip Hop,225,Canada,Mobile,2026-07-07 04:10:00
119,1465,6,Senorita,Ed Sheeran,POP,230,India,Tablet,2026-07-01 19:02:00
120,1393,4,Bad Habits,Justin Bieber,Rock,179,India,Desktop,2026-07-03 08:16:00
121,1031,1,Blinding Lights,Dua Lipa,rock,157,Australia,Desktop,2026-07-07 03:36:00
122,1194,7,Believer,Justin Bieber,rock,198,USA,Tablet,2026-07-07 17:00:00
123,1099,4,Stay,Justin Bieber,,157,UK,Desktop,2026-07-04 09:32:00
124,1461,3,Peaches,The Weeknd,rock,281,Australia,Mobile,2026-07-02 11:27:00
125,1340,8,Stay,The Weeknd,POP,173,Canada,Desktop,2026-07-02 07:26:00
126,1034,5,Blinding Lights,The Weeknd,Rock,195,Canada,Mobile,2026-07-07 21:56:00
127,1375,5,Bad Habits,Ed Sheeran,POP,209,India,Tablet,2026-07-05 11:27:00
128,1500,7,Perfect,Ed Sheeran,Rock,274,Canada,Tablet,2026-07-07 14:20:00
129,1350,7,Bad Habits,Justin Bieber,,264,Australia,Mobile,2026-07-02 11:32:00
130,1306,6,Peaches,Dua Lipa,rock,293,UK,Mobile,2026-07-04 01:47:00
131,1030,5,Peaches,Ed Sheeran,POP,185,Australia,Tablet,2026-07-05 21:53:00
132,1187,10,Senorita,The Weeknd,rock,163,USA,Mobile,2026-07-02 11:15:00
133,1009,8,Perfect,Ed Sheeran,POP,267,India,Mobile,2026-07-06 03:24:00
134,1012,10,Levitating,The Weeknd,,200,USA,Tablet,2026-07-05 22:28:00
135,1201,6,Believer,The Weeknd,POP,204,Australia,Tablet,2026-07-03 21:08:00
136,1323,8,Senorita,The Weeknd,POP,248,India,Desktop,2026-07-03 01:20:00
137,1240,2,Bad Habits,Justin Bieber,POP,291,Canada,Desktop,2026-07-02 17:16:00
138,1435,10,Levitating,The Weeknd,Pop,264,Canada,Tablet,2026-07-04 21:04:00
139,1287,8,Perfect,The Weeknd,Hip Hop,159,UK,Desktop,2026-07-04 23:41:00
140,1306,8,Peaches,The Weeknd,Rock,270,UK,Desktop,2026-07-05 05:43:00
141,1176,7,Thunder,Dua Lipa,rock,291,Canada,Mobile,2026-07-01 00:21:00
142,1008,10,Blinding Lights,The Weeknd,,207,UK,Tablet,2026-07-05 13:39:00
143,1278,3,Stay,Imagine Dragons,rock,224,USA,Mobile,2026-07-07 11:03:00
144,1277,1,Believer,Imagine Dragons,,170,UK,Mobile,2026-07-05 06:52:00
145,1479,5,Thunder,Justin Bieber,,250,Australia,Tablet,2026-07-02 23:16:00
146,1253,9,Blinding Lights,Imagine Dragons,POP,288,Australia,Mobile,2026-07-06 03:07:00
147,1091,1,Believer,The Weeknd,POP,210,UK,Tablet,2026-07-03 07:50:00
148,1496,7,Shape of You,Justin Bieber,Rock,199,India,Mobile,2026-07-03 12:47:00
149,1325,9,Senorita,Imagine Dragons,,236,USA,Desktop,2026-07-05 15:07:00
150,1072,6,Perfect,Dua Lipa,Pop,258,USA,Tablet,2026-07-03 17:05:00
151,1129,2,Thunder,Imagine Dragons,Pop,178,UK,Tablet,2026-07-04 17:52:00
152,1321,2,Believer,Imagine Dragons,Hip Hop,186,USA,Mobile,2026-07-04 14:50:00
153,1215,2,Stay,Ed Sheeran,Hip Hop,273,Australia,Desktop,2026-07-01 03:14:00
154,1182,5,Shape of You,Ed Sheeran,rock,263,UK,Tablet,2026-07-07 19:14:00
155,1358,2,Stay,Ed Sheeran,Hip Hop,268,USA,Mobile,2026-07-07 12:54:00
156,1049,3,Perfect,The Weeknd,Pop,187,USA,Tablet,2026-07-06 11:33:00
157,1070,5,Levitating,The Weeknd,,255,Canada,Desktop,2026-07-02 12:16:00
158,1208,3,Levitating,Ed Sheeran,Rock,172,India,Mobile,2026-07-03 08:47:00
159,1209,1,Believer,Justin Bieber,Hip Hop,236,Canada,Tablet,2026-07-07 03:45:00
160,1449,8,Bad Habits,Imagine Dragons,Rock,231,Australia,Tablet,2026-07-02 09:12:00
161,1424,3,Levitating,The Weeknd,Rock,178,Canada,Tablet,2026-07-04 05:54:00
162,1135,6,Thunder,The Weeknd,,158,Australia,Desktop,2026-07-01 13:55:00
163,1295,6,Senorita,The Weeknd,Hip Hop,297,USA,Mobile,2026-07-03 00:12:00
164,1167,8,Shape of You,Ed Sheeran,POP,187,India,Desktop,2026-07-01 14:47:00
165,1038,3,Shape of You,The Weeknd,POP,290,USA,Tablet,2026-07-03 10:21:00
166,1037,9,Blinding Lights,Ed Sheeran,POP,250,Canada,Tablet,2026-07-06 04:39:00
167,1367,3,Stay,Dua Lipa,POP,241,Canada,Desktop,2026-07-03 07:54:00
168,1127,4,Stay,Ed Sheeran,Rock,152,Canada,Mobile,2026-07-07 17:46:00
169,1266,8,Shape of You,Ed Sheeran,rock,220,UK,Mobile,2026-07-01 20:54:00
170,1016,3,Blinding Lights,Dua Lipa,Hip Hop,223,UK,Tablet,2026-07-04 17:55:00
171,1053,4,Peaches,Imagine Dragons,,283,Australia,Desktop,2026-07-02 17:14:00
172,1267,9,Shape of You,Ed Sheeran,Pop,241,UK,Mobile,2026-07-07 18:06:00
173,1109,6,Levitating,Dua Lipa,Rock,211,Canada,Desktop,2026-07-01 22:51:00
174,1475,7,Thunder,The Weeknd,Pop,283,UK,Desktop,2026-07-03 01:36:00
175,1448,8,Blinding Lights,Dua Lipa,rock,202,USA,Mobile,2026-07-07 02:24:00
176,1135,2,Peaches,Imagine Dragons,,248,UK,Mobile,2026-07-07 07:39:00
177,1157,3,Stay,The Weeknd,Rock,283,UK,Mobile,2026-07-01 07:08:00
178,1288,4,Levitating,Justin Bieber,Pop,278,Australia,Mobile,2026-07-04 13:19:00
179,1491,5,Bad Habits,Imagine Dragons,Pop,275,Canada,Tablet,2026-07-07 09:39:00
180,1179,8,Thunder,The Weeknd,Rock,230,USA,Mobile,2026-07-04 18:37:00
181,1334,6,Stay,Dua Lipa,POP,247,Canada,Desktop,2026-07-02 13:51:00
182,1362,6,Senorita,Ed Sheeran,Pop,232,UK,Tablet,2026-07-02 19:40:00
183,1404,7,Perfect,Justin Bieber,Hip Hop,187,USA,Desktop,2026-07-07 03:45:00
184,1011,2,Perfect,Imagine Dragons,Rock,223,UK,Desktop,2026-07-04 12:07:00
185,1377,1,Bad Habits,Justin Bieber,Rock,196,Australia,Desktop,2026-07-03 18:36:00
186,1114,1,Blinding Lights,Dua Lipa,POP,221,UK,Tablet,2026-07-03 05:36:00
187,1307,6,Thunder,Justin Bieber,Pop,173,Australia,Desktop,2026-07-03 09:36:00
188,1430,10,Bad Habits,Ed Sheeran,POP,228,UK,Tablet,2026-07-03 13:51:00
189,1389,4,Shape of You,Ed Sheeran,,192,India,Tablet,2026-07-01 22:32:00
190,1218,6,Believer,Justin Bieber,rock,190,UK,Desktop,2026-07-03 02:55:00
191,1217,3,Perfect,Imagine Dragons,rock,252,India,Desktop,2026-07-02 02:57:00
192,1306,6,Thunder,Imagine Dragons,rock,239,USA,Tablet,2026-07-03 07:28:00
193,1083,5,Levitating,Imagine Dragons,Pop,285,Australia,Mobile,2026-07-07 02:16:00
194,1338,6,Senorita,Justin Bieber,,152,UK,Desktop,2026-07-02 05:58:00
195,1129,8,Bad Habits,The Weeknd,Rock,252,UK,Mobile,2026-07-03 13:02:00
196,1398,1,Peaches,Dua Lipa,POP,229,USA,Mobile,2026-07-03 13:51:00
197,1402,6,Perfect,The Weeknd,POP,264,India,Tablet,2026-07-07 05:48:00
198,1010,7,Believer,Justin Bieber,Hip Hop,216,Australia,Tablet,2026-07-02 13:25:00
199,1216,4,Levitating,The Weeknd,Rock,208,USA,Tablet,2026-07-01 18:07:00
200,1053,6,Stay,Ed Sheeran,Pop,160,Australia,Mobile,2026-07-03 09:09:00
201,1264,2,Stay,Justin Bieber,rock,293,Canada,Desktop,2026-07-01 20:26:00
202,1361,2,Blinding Lights,Justin Bieber,POP,182,Australia,Desktop,2026-07-04 01:18:00
203,1187,6,Levitating,Dua Lipa,POP,170,Australia,Desktop,2026-07-04 09:51:00
204,1184,8,Senorita,Dua Lipa,POP,212,Canada,Mobile,2026-07-04 10:12:00
205,1295,3,Senorita,Dua Lipa,Hip Hop,248,Canada,Desktop,2026-07-07 10:17:00
206,1173,5,Shape of You,Imagine Dragons,Pop,192,USA,Desktop,2026-07-01 00:48:00
207,1212,6,Stay,Imagine Dragons,Hip Hop,296,Canada,Tablet,2026-07-04 21:15:00
208,1359,1,Stay,Dua Lipa,Hip Hop,238,Canada,Mobile,2026-07-05 16:04:00
209,1316,9,Bad Habits,The Weeknd,Hip Hop,249,India,Desktop,2026-07-01 05:21:00
210,1027,3,Thunder,Ed Sheeran,,177,UK,Tablet,2026-07-06 08:58:00
211,1481,1,Perfect,Dua Lipa,rock,282,Australia,Tablet,2026-07-07 22:45:00
212,1388,4,Bad Habits,The Weeknd,,183,UK,Tablet,2026-07-03 17:26:00
213,1339,2,Stay,The Weeknd,Hip Hop,271,USA,Tablet,2026-07-01 22:14:00
214,1482,1,Stay,Justin Bieber,POP,250,Australia,Desktop,2026-07-01 15:31:00
215,1353,1,Perfect,Justin Bieber,POP,279,India,Tablet,2026-07-01 12:23:00
216,1002,2,Thunder,Imagine Dragons,Rock,223,Australia,Mobile,2026-07-04 11:05:00
217,1436,8,Thunder,Justin Bieber,rock,239,Australia,Desktop,2026-07-03 09:01:00
218,1305,2,Stay,The Weeknd,Hip Hop,270,UK,Mobile,2026-07-03 18:47:00
219,1303,5,Stay,Ed Sheeran,Rock,267,India,Tablet,2026-07-04 13:09:00
220,1393,2,Blinding Lights,Dua Lipa,POP,217,India,Tablet,2026-07-07 05:47:00
221,1388,3,Levitating,Ed Sheeran,rock,277,India,Tablet,2026-07-04 22:27:00
222,1220,2,Believer,The Weeknd,rock,150,UK,Mobile,2026-07-06 09:16:00
223,1119,2,Stay,The Weeknd,Hip Hop,299,Australia,Tablet,2026-07-04 01:10:00
224,1195,5,Levitating,Dua Lipa,Pop,294,Canada,Tablet,2026-07-04 10:27:00
225,1078,6,Levitating,Imagine Dragons,Pop,290,USA,Mobile,2026-07-02 05:55:00
226,1175,3,Stay,Imagine Dragons,POP,290,Canada,Desktop,2026-07-03 15:02:00
227,1022,10,Blinding Lights,Imagine Dragons,rock,184,Canada,Mobile,2026-07-03 01:26:00
228,1009,8,Perfect,Ed Sheeran,Hip Hop,212,USA,Tablet,2026-07-05 18:26:00
229,1140,6,Shape of You,The Weeknd,POP,250,USA,Desktop,2026-07-04 09:12:00
230,1475,7,Perfect,Dua Lipa,rock,188,India,Mobile,2026-07-02 22:57:00
231,1157,3,Senorita,Imagine Dragons,Hip Hop,237,UK,Mobile,2026-07-03 08:07:00
232,1458,8,Peaches,Justin Bieber,rock,157,UK,Mobile,2026-07-05 17:06:00
233,1453,8,Bad Habits,Justin Bieber,rock,189,Australia,Mobile,2026-07-06 01:00:00
234,1101,5,Shape of You,The Weeknd,Hip Hop,259,Australia,Tablet,2026-07-05 18:05:00
235,1415,4,Senorita,Ed Sheeran,,222,UK,Desktop,2026-07-01 14:31:00
236,1294,7,Blinding Lights,Imagine Dragons,rock,240,USA,Tablet,2026-07-06 18:08:00
237,1391,9,Peaches,Justin Bieber,Hip Hop,279,Australia,Desktop,2026-07-05 00:38:00
238,1127,9,Perfect,The Weeknd,rock,176,Australia,Mobile,2026-07-06 05:36:00
239,1479,9,Thunder,The Weeknd,,207,India,Mobile,2026-07-07 04:32:00
240,1090,6,Believer,Ed Sheeran,Pop,253,Canada,Tablet,2026-07-03 13:04:00
241,1014,8,Perfect,Imagine Dragons,,285,UK,Tablet,2026-07-01 02:15:00
242,1021,4,Levitating,The Weeknd,Pop,253,UK,Tablet,2026-07-02 03:52:00
243,1405,3,Peaches,Ed Sheeran,Hip Hop,178,USA,Mobile,2026-07-07 10:10:00
244,1179,3,Perfect,Justin Bieber,rock,213,UK,Desktop,2026-07-07 17:01:00
245,1222,8,Blinding Lights,Ed Sheeran,Rock,170,USA,Mobile,2026-07-03 20:28:00
246,1289,9,Levitating,Justin Bieber,Pop,260,UK,Tablet,2026-07-04 09:59:00
247,1480,4,Levitating,Dua Lipa,,198,India,Tablet,2026-07-07 04:04:00
248,1477,7,Stay,Ed Sheeran,Rock,285,India,Tablet,2026-07-03 01:38:00
249,1407,1,Believer,The Weeknd,Pop,273,Canada,Mobile,2026-07-01 10:56:00
250,1413,4,Blinding Lights,The Weeknd,rock,279,Australia,Desktop,2026-07-02 13:18:00
251,1326,10,Blinding Lights,The Weeknd,rock,233,UK,Mobile,2026-07-02 22:22:00
252,1231,6,Levitating,Dua Lipa,Rock,223,USA,Mobile,2026-07-06 13:04:00
253,1011,7,Stay,The Weeknd,,192,USA,Mobile,2026-07-02 07:46:00
254,1323,4,Levitating,The Weeknd,POP,235,Canada,Mobile,2026-07-06 04:49:00
255,1002,10,Peaches,Dua Lipa,rock,239,Australia,Tablet,2026-07-06 13:45:00
256,1267,4,Peaches,Imagine Dragons,POP,172,India,Mobile,2026-07-07 04:07:00
257,1274,5,Shape of You,Ed Sheeran,Rock,152,UK,Tablet,2026-07-04 22:49:00
258,1444,2,Thunder,Imagine Dragons,Pop,293,Australia,Mobile,2026-07-04 07:40:00
259,1247,10,Blinding Lights,The Weeknd,Hip Hop,174,Australia,Mobile,2026-07-03 14:21:00
260,1360,7,Levitating,Dua Lipa,Hip Hop,163,UK,Mobile,2026-07-06 17:57:00
261,1104,7,Thunder,Dua Lipa,Hip Hop,292,Australia,Desktop,2026-07-07 06:18:00
262,1474,9,Stay,Justin Bieber,Hip Hop,282,USA,Tablet,2026-07-05 10:36:00
263,1104,3,Stay,The Weeknd,Pop,299,India,Mobile,2026-07-03 22:42:00
264,1458,3,Stay,Imagine Dragons,Rock,263,Canada,Mobile,2026-07-02 20:30:00
265,1067,6,Shape of You,The Weeknd,rock,185,USA,Mobile,2026-07-04 04:17:00
266,1355,5,Shape of You,Justin Bieber,POP,236,India,Mobile,2026-07-05 02:50:00
267,1254,5,Thunder,Ed Sheeran,,158,Australia,Desktop,2026-07-03 10:19:00
268,1323,9,Believer,The Weeknd,Pop,190,Canada,Tablet,2026-07-07 03:11:00
269,1070,3,Stay,The Weeknd,POP,232,UK,Desktop,2026-07-01 07:59:00
270,1242,8,Perfect,Justin Bieber,POP,195,USA,Mobile,2026-07-04 13:26:00
271,1031,8,Senorita,Ed Sheeran,Rock,183,Australia,Tablet,2026-07-06 01:41:00
272,1101,1,Bad Habits,Dua Lipa,Pop,231,Australia,Tablet,2026-07-04 05:23:00
273,1040,2,Believer,The Weeknd,POP,193,India,Mobile,2026-07-05 15:32:00
274,1388,6,Bad Habits,Dua Lipa,POP,162,Australia,Tablet,2026-07-02 13:35:00
275,1007,3,Blinding Lights,The Weeknd,Pop,170,Canada,Tablet,2026-07-03 22:41:00
276,1474,10,Levitating,Imagine Dragons,Rock,188,Australia,Tablet,2026-07-01 21:56:00
277,1212,1,Stay,Ed Sheeran,Pop,162,UK,Tablet,2026-07-03 23:26:00
278,1025,7,Senorita,The Weeknd,rock,157,India,Mobile,2026-07-07 05:36:00
279,1119,9,Bad Habits,Justin Bieber,Hip Hop,238,Australia,Mobile,2026-07-07 05:16:00
280,1081,5,Levitating,Justin Bieber,,283,Canada,Desktop,2026-07-06 01:38:00
281,1250,8,Levitating,Ed Sheeran,Hip Hop,219,UK,Desktop,2026-07-05 14:45:00
282,1059,6,Shape of You,Imagine Dragons,POP,259,UK,Mobile,2026-07-07 01:47:00
283,1373,10,Thunder,Imagine Dragons,Rock,300,Australia,Tablet,2026-07-01 21:46:00
284,1065,10,Shape of You,Imagine Dragons,rock,277,USA,Tablet,2026-07-07 00:29:00
285,1279,5,Thunder,The Weeknd,Hip Hop,207,UK,Desktop,2026-07-02 17:40:00
286,1088,5,Senorita,Ed Sheeran,rock,300,UK,Tablet,2026-07-04 13:40:00
287,1066,6,Thunder,Justin Bieber,Hip Hop,228,India,Tablet,2026-07-07 23:54:00
288,1094,4,Bad Habits,Justin Bieber,POP,259,USA,Desktop,2026-07-04 06:44:00
289,1462,5,Peaches,Imagine Dragons,POP,239,USA,Mobile,2026-07-02 11:44:00
290,1371,9,Thunder,Ed Sheeran,Hip Hop,295,Canada,Tablet,2026-07-06 23:36:00
291,1338,5,Blinding Lights,Dua Lipa,,235,UK,Desktop,2026-07-04 05:41:00
292,1486,1,Stay,Justin Bieber,rock,236,USA,Desktop,2026-07-07 07:36:00
293,1333,10,Perfect,Dua Lipa,Pop,291,Australia,Desktop,2026-07-06 01:02:00
